Date,Activity Type,Duration (Minutes),Calories Burned
2025-01-01,Running,40,379
2025-01-02,Swimming,48,478
2025-01-03,Running,40,434
2025-01-04,Cycling,56,495
2025-01-05,Running,22,255
2025-01-06,Walking,54,320
2025-01-07,Yoga,49,171
2025-01-07,Swimming,31,305
2025-01-08,Walking,69,380
2025-01-08,Swimming,30,259
2025-01-09,Running,53,540
2025-01-10,Walking,50,239
2025-01-10,Yoga,47,192
2025-01-11,Cycling,58,546
2025-01-12,Yoga,37,111
2025-01-13,Cycling,62,547
2025-01-13,Walking,71,335
2025-01-14,Yoga,45,168
2025-01-15,Swimming,59,556
2025-01-16,Walking,43,214
2025-01-17,Swimming,56,555
2025-01-18,Walking,68,328
2025-01-19,Cycling,80,599
2025-01-19,Walking,31,163
2025-01-20,Running,30,299
2025-01-21,Swimming,25,217
2025-01-22,Cycling,68,510
2025-01-23,Swimming,48,520
2025-01-24,Yoga,46,161
2025-01-25,Walking,46,209
2025-01-26,Walking,61,355
2025-01-26,Running,38,420
2025-01-27,Running,23,213
2025-01-28,Walking,34,179
2025-01-29,Cycling,89,759
2025-01-30,Running,38,423
2025-01-01,Yoga,5,3
2025-01-01,Yoga,5,3
2025-01-01,Yoga,5,3
2025-01-01,Yoga,6,3
